endereco,preco,quartos,banheiros,area
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",773132,3.0,3.0,109.0
"Pajuçara, Região Norte, Natal, Estado do Rio Grande do Norte",151480,2.0,1.0,41.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",952068,3.0,4.0,137.0
"Ponta Negra, Região Sul, Natal, Estado do Rio Grande do Norte",303980,1.0,1.0,45.0
"Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",823000,2.0,3.0,100.0
"Capim Macio, Região Sul, Natal, Estado do Rio Grande do Norte",354240,2.0,2.0,59.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",854344,3.0,4.0,117.0
"Capim Macio, Região Sul, Natal, Estado do Rio Grande do Norte",1126638,3.0,4.0,156.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",859286,3.0,4.0,142.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",531613,3.0,2.0,95.0
"59066-050, Candelária, Região Sul, Natal, Estado do Rio Grande do Norte",245000,2.0,2.0,56.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",249990,1.0,1.0,40.0
"Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",1236206,4.0,5.0,190.0
"Areia Preta, Região Leste, Natal, Estado do Rio Grande do Norte",800000,3.0,4.0,130.0
"Capim Macio, Região Sul, Natal, Estado do Rio Grande do Norte",842612,2.0,2.0,75.0
"59020-240, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1500000,4.0,4.0,145.0
"Lagoa Nova, Região Sul, Natal, Estado do Rio Grande do Norte",997178,3.0,5.0,144.0
"Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",1231751,3.0,4.0,176.0
"Natal, Estado do Rio Grande do Norte",192680,2.0,1.0,39.0
"Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",245000,2.0,2.0,57.0
"59020-130, Tirol, Região Leste, Natal, Estado do Rio Grande do Norte",270000,2.0,2.0,57.0
"Petrópolis, Região Leste, Natal, Estado do Rio Grande do Norte",370000,3.0,3.0,170.0
